node,book,chapter,verse,pharse,verb_lex,verb_tense,verb_stem,alg_freq 
414604,2_Chronicles,17,3,Cmpl,HLK[,perf,qal,1554 
414655,2_Chronicles,17,6,Cmpl,GBH[,wayq,qal, 
416705,2_Chronicles,20,32,Cmpl,HLK[,wayq,qal,1554 
416921,2_Chronicles,21,6,Cmpl,HLK[,wayq,qal,1554 
417076,2_Chronicles,21,12,Cmpl,HLK[,perf,qal,1554 
417088,2_Chronicles,21,13,Cmpl,HLK[,wayq,qal,1554 
417327,2_Chronicles,22,3,Cmpl,HLK[,perf,qal,1554 
420272,2_Chronicles,27,6,Subj,KWN[,perf,hif, 
420351,2_Chronicles,28,2,Cmpl,HLK[,wayq,qal,1554 
424465,2_Chronicles,34,2,Cmpl,HLK[,wayq,qal,1554 

